Tíðni	Orðmynd	Mark (Gull)	Mark (Nefnir)	Lemma (Gull)	Lemma (Nefnir)
646	kl	ks	ób-sk	kl.	kl
375	fyrr	aam	ao-mst	fyrr	snemma
309	fyrst	aae	ao-est	fyrr	snemma
272	lögum	nhfþ	no-hk-ft-þgf	lag	lög
223	heldur	aam	ao-mst	heldur	gjarnan
210	Uppl.	kt	ób-sk	uppl.	Uppl.
177	meira	aam	ao-mst	meira	mjög
175	laga	nhfe	no-hk-ft-ef	lag	lög
147	lög	nhfo	no-hk-ft-þf	lag	lög
140	fremur	aam	ao-mst	fremur	harla
137	Bandaríkjunum	nhfþgs	no-hk-ft-þgf-gr-s	Bandaríki	Bandaríkin
132	síst	aae	ao-est	síður	varla
129	S.	ks	ób-sk	s.	S.
123	síður	aam	ao-mst	síður	varla
118	helst	aae	ao-est	heldur	gjarnan
115	lög	nhfn	no-hk-ft-nf	lag	lög
109	mest	aae	ao-est	mikið	mjög
108	Und.	kt	ób-sk	und.	Und.
99	fremst	aae	ao-est	fremur	frammi
99	sama	fbkeo	fn-óá-kk-et-þf	samur	sami
98	hefst	sfm3en	so-fh-mm-3p-et-nt	hefja	hafa
79	stjórnvalda	nhfe	no-hk-ft-ef	stjórnvald	stjórnvöld
74	sept	ks	ób-sk	sept.	sept
72	X	x	ób-x	x	X
68	laganna	nhfeg	no-hk-ft-ef-gr	lag	lög
65	kr	ks	ób-sk	kr.	kr
53	Kl	ks	ób-sk	kl.	Kl
50	sl	ks	ób-sk	sl.	sl
49	lögin	nhfng	no-hk-ft-nf-gr	lag	lög
49	nær	aam	ao-mst	nær	narri
46	Fyrst	aae	ao-est	fyrr	snemma
46	lögunum	nhfþg	no-hk-ft-þgf-gr	lag	lög
44	s	ks	ób-sk	s.	s
44	stjórnvöld	nhfn	no-hk-ft-nf	stjórnvald	stjórnvöld
44	S	x	ób-x	s	S
42	lögin	nhfog	no-hk-ft-þf-gr	lag	lög
42	mín	x	ób-x	mín.	mín
40	Morgunblaðsins	nheegs	no-hk-et-ef-gr-s	Morgunblað	Morgunblaðið
39	i	x	ób-x	í	i
39	öðru	lheþsf	lo-hk-et-þgf-sb-fst	öðr	annar
38	Bandaríkjanna	nhfegs	no-hk-ft-ef-gr-s	Bandaríki	Bandaríkin
36	Morgunblaðið	nhengs	no-hk-et-nf-gr-s	Morgunblað	Morgunblaðið
33	1	ta	to	1.	1
33	nær	afm	ao-mst	nær	narri
33	eigið	lheosf	lo-hk-et-þf-sb-fst	eiginn	eigin
32	f	ks	ób-sk	f.	f
31	hf	ks	ób-sk	hf.	hf
30	hmmm	au	ób-uh	hmm	hmmm
30	Samfylkingarinnar	nveegs	no-kvk-et-ef-gr-s	Samfylking	Samfylkingin
30	II	ta	to	II	i
30	sr	ks	ób-sk	sr.	sr
28	Morgunblaðinu	nheþgs	no-hk-et-þgf-gr-s	Morgunblað	Morgunblaðið
27	20	ta	to	20.	20
27	meir	aam	ao-mst	meir	mjög
27	5	ta	to	5.	5
27	2	ta	to	2.	2
27	Netinu	nheþgs	no-hk-et-þgf-gr-s	Net	Netið
26	10	ta	to	10.	10
26	Vegagerðin	nvengs	no-kvk-et-nf-gr-s	Vegagerð	Vegagerðin
25	11	ta	to	11.	11
25	Evrópufélagsins	nheegs	no-hk-et-ef-gr-s	Evrópufélag	Evrópufélagið
24	17	ta	to	17.	17
24	Greiningar-	kt	ób-sk	greiningarstöð	Greiningar-
24	efst	aae	ao-est	ofar	uppi
24	INHOPE	n----s	no-x-s	INHOPE	Inhope
23	Morgunblaðið	nheogs	no-hk-et-þf-gr-s	Morgunblað	Morgunblaðið
23	L.	x	ób-x	l	L.
22	stjórnvöld	nhfo	no-hk-ft-þf	stjórnvald	stjórnvöld
22	stjórnvöldum	nhfþ	no-hk-ft-þgf	stjórnvald	stjórnvöld
21	12	ta	to	12.	12
21	4	ta	to	4.	4
21	annað	lheosf	lo-hk-et-þf-sb-fst	annaður	annar
20	9	ta	to	9.	9
20	innst	aae	ao-est	innar	inni
20	lengst	aae	ao-est	lengi	langt
20	ehf	ks	ób-sk	ehf.	ehf
20	ferm	ks	ób-sk	ferm.	ferm
20	ad	x	ób-x	að	ad
19	Samfylkingin	nvengs	no-kvk-et-nf-gr-s	Samfylking	Samfylkingin
19	gætt	sþghen	so-lhþt-gm-hk-et-nf	gæða	gæta
19	Lög	nhfn	no-hk-ft-nf	lag	lög
19	A	n----s	no-x-s	A.	A
19	G	n----s	no-x-s	G.	G
19	Sr	ks	ób-sk	Sr.	Sr
18	3	ta	to	3.	3
18	er	x	ób-x	vera	er
18	c.	x	ób-x	c	c.
18	Netinu	nheþgs	no-hk-et-þgf-gr-s	net	Netið
18	Marcels	n----s	no-x-s	Marcel	Marcels
17	fötum	nhfþ	no-hk-ft-þgf	fat	föt
17	Samfylkingunni	nveþgs	no-kvk-et-þgf-gr-s	Samfylking	Samfylkingin
16	18	ta	to	18.	18
16	15	ta	to	15.	15
16	16	ta	to	16.	16
16	Bandaríkin	nhfogs	no-hk-ft-þf-gr-s	Bandaríki	Bandaríkin
16	sköpum	nhfþ	no-hk-ft-þgf	skap	sköp
16	jöminn	aa	ao	jeminn	jöminn
16	verra	lhenvm	lo-hk-et-nf-vb-mst	verri	slæmur
16	Kr.	ks	ób-sk	kr.	Kr.
16	B	x	ób-x	b	B
15	mánu-	kt	ób-sk	mánudagur	mánu-
15	kat	n----s	no-x-s	kat	Kat
15	6	ta	to	6.	6
15	Vegagerðarinnar	nveegs	no-kvk-et-ef-gr-s	Vegagerð	Vegagerðin
15	H	n----s	no-x-s	H.	H
15	fremst	aae	ao-est	framar	frammi
15	Fréttablaðinu	nheþgs	no-hk-et-þgf-gr-s	Fréttablað	Fréttablaðið
15	kjörinn	sþgken	so-lhþt-gm-kk-et-nf	kjósa	kjöra
14	21	ta	to	21.	21
14	fyrramálið	nheog	no-hk-et-þf-gr	fyrramál	fyrramálið
14	M	n----s	no-x-s	M.	M
14	S	n----s	no-x-s	S.	S
14	Vesturlöndum	nhfþ-s	no-hk-ft-þgf-s	Vesturland	Vesturlönd
14	Fyrr	aam	ao-mst	fyrr	snemma
14	hlutum	nkfþ	no-kk-ft-þgf	hluti	hlutur
14	Ábendingalína	nvfe-s	no-kvk-ft-ef-s	ábendingalína	Ábendingalínur
14	Menningar-	kt	ób-sk	menningarsvið	Menningar-
13	19	ta	to	19.	19
13	tvö	ta	to	tvö	tveir
13	beðnir	sþgkfn	so-lhþt-gm-kk-ft-nf	biðja	bíða
13	Ó	n----s	no-x-s	Ó.	Ó
13	Fréttablaðið	nhengs	no-hk-et-nf-gr-s	Fréttablað	Fréttablaðið
13	Fréttablaðsins	nheegs	no-hk-et-ef-gr-s	Fréttablað	Fréttablaðið
13	I	ta	to	I	i
13	grínast	snm	so-nh-mm	grína	grínast
13	d.	x	ób-x	d	d.
13	e.	x	ób-x	e	e.
12	14	ta	to	14.	14
12	26	ta	to	26.	26
12	elvis	x	ób-x	Elvis	elvis
12	7	ta	to	7.	7
12	slökkviliðs-	kt	ób-sk	slökkviliðsmaður	slökkviliðs-
12	nr	ks	ób-sk	nr.	nr
12	E	x	ób-x	e	E
12	Kl.	ks	ób-sk	kl.	Kl.
12	J	n----s	no-x-s	J.	J
12	framar	aam	ao-mst	framar	frammi
12	Ek.	ks	ób-sk	ek.	Ek.
12	à	af	ao	á	à
11	8	ta	to	8.	8
11	Uppl	ks	ób-sk	uppl.	Uppl
11	25	ta	to	25.	25
11	24	ta	to	24.	24
11	Samfylkinguna	nveogs	no-kvk-et-þf-gr-s	Samfylking	Samfylkingin
11	Mest	aae	ao-est	mikið	mjög
11	Fréttablaðið	nheogs	no-hk-et-þf-gr-s	Fréttablað	Fréttablaðið
11	T	x	ób-x	t	T
11	ofar	aam	ao-mst	ofar	uppi
11	III	ta	to	III	ii
11	A-deild	nveþ-s	no-kvk-et-þgf-s	a-deild	A-deild
10	þriðjud	ks	ób-sk	þriðjud.	þriðjud
10	fimmtud	ks	ób-sk	fimmtud.	fimmtud
10	eg	fp1en	fn-p-1p-et-nf	ég	eg
10	Þ	n----s	no-x-s	Þ.	Þ
10	13	ta	to	13.	13
10	ok	c	ób-st	og	ok
10	föt	nhfo	no-hk-ft-þf	fat	föt
10	mánud	ks	ób-sk	mánud.	mánud
10	D	x	ób-x	d	D
10	Lögin	nhfng	no-hk-ft-nf-gr	lag	lög
10	dvd	ks	ób-sk	DVD	dvd
10	ingó	nken	no-kk-et-nf	Ingó	ingó
10	vega	nkfo	no-kk-ft-þf	vegur	vegi
10	Y	nken-s	no-kk-et-nf-s	y	Y
9	þriðju-	kt	ób-sk	þriðjudagur	þriðju-
9	té	x	ób-x	Té	té
9	jonni	nken	no-kk-et-nf	Jonni	jonni
9	Stjórnvöld	nhfn	no-hk-ft-nf	stjórnvald	stjórnvöld
9	27	ta	to	27.	27
9	verst	lhense	lo-hk-et-nf-sb-est	verri	slæmur
9	R	n----s	no-x-s	R.	R
9	veitt	sþghen	so-lhþt-gm-hk-et-nf	veiða	veita
